product_id,code,description,category,brand,manufacturer,status
20836299,5013405651598,SUPER-MAX KWIK III(RAZ+BLD 4CO) ,BPZ - BANDED PACKS,SUPER-MAX (SUPER-MAX/INDIA),SUPER-MAX/INDIA,Active
76421174,4752171011168,MIMISO TRIO HAND CREAM(3XHACX30ML) ,BPZ - BANDED PACKS,MIMISO (COTTON CLUB),COTTON CLUB,Active
204472328,8700216601016,OLD SPICE WHITEWATER (SRG250ML+DEO50ML) ,BPZ - BANDED PACKS,OLD SPICE (PROCTER & GAMBLE),PROCTER & GAMBLE,Active
72929407,8714100913871,BARKHATNYE RUCHKI 2V1 PITANIE I ZATSHITA(2XHAC 45+80 FR),BPZ - BANDED PACKS,BARKHATNYE RUCHKI (ARNEST/UNIRUS),ARNEST/UNIRUS,Active
85805931,8720182996329,CAMAY BOTANICALS(2XSRGX250 GRAN&KOL+SAK&VIT.B3),BPZ - BANDED PACKS,CAMAY (ARNEST/UNIRUS),ARNEST/UNIRUS,Active
62568656,7702018558827,GILL.FUS.PROGLIDE (RAZ FLEXB + BLD 2C) ,BPZ - BANDED PACKS,GILLETTE (PROCTER & GAMBLE),PROCTER & GAMBLE,Active
76789672,7702018614134,GILLETTE+HEAD&SHOUL(RAZ MACH3+SHP SER.SENS.100+SHM90) ,BPZ - BANDED PACKS,UNABLE TO SEGMENT (PROCTER & GAMBLE),PROCTER & GAMBLE,Active
65235844,7702018560301,GILLETTE SKINGUARD(RAZ + BLD 1C + CPC FR)) ,BPZ - BANDED PACKS,GILLETTE (PROCTER & GAMBLE),PROCTER & GAMBLE,Active
46376187,8001090953094,OLD SPICE WOLFTHORN(DEO STO50+SRG250) ,BPZ - BANDED PACKS,OLD SPICE (PROCTER & GAMBLE),PROCTER & GAMBLE,Active
41325663,8690506487799,ARKO SENSITIVE (SHP FO 200 + MFR C 50) ,BPZ - BANDED PACKS,ARKO (EVYAP),EVYAP,Active
208909848,8436581946284,REEBOK INSPIRE YOUR MIND (DEO150ML+CPC) ,BPZ - BANDED PACKS,REEBOK (TAILORED PERFUMES/SPAIN),TAILORED PERFUMES/SPAIN,Active
204299567,8700216593472,GILLETTE FUSION (RAZ 1C+SHP KLAS.FO 50ML) ,BPZ - BANDED PACKS,GILLETTE (PROCTER & GAMBLE),PROCTER & GAMBLE,Active
64838235,4005800282898,NIVEA ULTRA CARBON F/MEN (SRG250+DEO50 55%) ,BPZ - BANDED PACKS,NIVEA MEN (BEIERSDORF),BEIERSDORF,Active
75180713,4005800301896,NIVEA MEN PROTECT (SRG ULTRA 250+DEO CHYOR.I BEL.MAX PRO150) ,BPZ - BANDED PACKS,NIVEA (BEIERSDORF),BEIERSDORF,Active
146710728,3086123711556,BIC SOLEIL CLIC 3 SENSITIVE (RAZ+BLD 1CO+CPC) ,BPZ - BANDED PACKS,BIC (VIOLEX BIC),VIOLEX BIC,Active
23031866,4016369608715,LACALUT SENSITIVE (TTH75ML+TBR FREE) ,BPZ - BANDED PACKS,NA,NA,Active
75942914,4005800301254,NIVEA UNIVERSAL`NIY UKHOD(SOA100+BCR75+CPC FR) ,BPZ - BANDED PACKS,NIVEA (BEIERSDORF),BEIERSDORF,Active
155909173,0110027568688,JUNDO 2XDTRX1L (COLOR+BLACK) ,BPZ - BANDED PACKS,JUNDO (ATAVA/MOSKVA),ATAVA/MOSKVA,Active
219062536,3661434009853,URIAGE AGE LIFT (2XFCR D40ML+Y15ML FR) ,BPZ - BANDED PACKS,URIAGE (ANTONIO PUIG/BARSELONA),ANTONIO PUIG/BARSELONA,Active
77764045,2009880123548,TRAKTOR PLAY OFF(SHP FO200+MFR C75) ,BPZ - BANDED PACKS,TRAKTOR (TRAKTOR KHOKKEYNIY KLUB/CHELYABINSK),TRAKTOR KHOKKEYNIY KLUB/CHELYABINSK,Active
39952595,4015100204308,GLISS KUR RENOVATSIYA VOLOS(HCR200+SHM250 FR) ,BPZ - BANDED PACKS,GLISS KUR (LAB INDUSTRIES/MOSKVA),LAB INDUSTRIES/MOSKVA,Active
90827769,1220000152953,DIZAO LYUBI SEBYA! TRI ENERGII(3XFS 36G+36G+30G) ,BPZ - BANDED PACKS,DIZAO (LU SHI TSAO/JAPAN),LU SHI TSAO/JAPAN,Active
93678656,2037730856667,HIMALAYA HERBALS N1(FCR PIT.50ML+LPS 10G) ,BPZ - BANDED PACKS,HIMALAYA HERBALS (HIMALAYA GLOBAL HOLDINGS/INDIA),HIMALAYA GLOBAL HOLDINGS/INDIA,Active
95406214,1220000151949,DIZAO S UNIKAL`NOY GLINOY MANIKUAGAN (3XFS) ,BPZ - BANDED PACKS,DIZAO (LU SHI TSAO/JAPAN),LU SHI TSAO/JAPAN,Active
36478119,1220000150560,DIZAO NATURAL SCHAST`E(3XFSX28G) ,BPZ - BANDED PACKS,DIZAO (LU SHI TSAO/JAPAN),LU SHI TSAO/JAPAN,Active
95072772,2037730856643,HIMALAYA N3(FCR PIT.50ML+LPS 10G+FS MZ 30ML) ,BPZ - BANDED PACKS,HIMALAYA HERBALS (HIMALAYA GLOBAL HOLDINGS/INDIA),HIMALAYA GLOBAL HOLDINGS/INDIA,Active
70631288,1103727195024,TOPTECH REAL MEN PROF.3 (RAZ+BLD) ,BPZ - BANDED PACKS,TOPTECH (NASTOYATSHIY MUZHCHINA/CHEBOKSARY),NASTOYATSHIY MUZHCHINA/CHEBOKSARY,Active
145740711,8700216181259,OLD SPICE CAPTAIN(SRG250ML+DEO150ML) ,BPZ - BANDED PACKS,OLD SPICE (PROCTER & GAMBLE),PROCTER & GAMBLE,Active
223850791,8700216941556,OLD SPICE+HEAD & SHOULD.WOLFTHORN(SRG250ML+DEO50ML+SHM200ML),BPZ - BANDED PACKS,UNABLE TO SEGMENT (PROCTER & GAMBLE),PROCTER & GAMBLE,Active
204212024,8700216593106,GILLETTE+HEAD&SH(SHP USPOK.FO200ML+SHM OSN.UKH.2V1 200ML) ,BPZ - BANDED PACKS,UNABLE TO SEGMENT (PROCTER & GAMBLE),PROCTER & GAMBLE,Active
219204199,4603014029348,SPLAT TIME TO TRAVEL (TTH SPEC.BLACKWOOD 25GR+TBR M) ,BPZ - BANDED PACKS,SPLAT (SPLAT-KOSMETIKA/MOSKVA),SPLAT-KOSMETIKA/MOSKVA,Active
55291579,4630049640385,COMPLIMENT MEN URBAN NIGHT N1730(250XSHM+SRG+CPC) ,BPZ - BANDED PACKS,COMPLIMENT (TIMEKS KOSMETIK/MOSKVA),TIMEKS KOSMETIK/MOSKVA,Active
58448304,4627166862394,ROYAL CANIN NSB(3XCAT OV&ST.S1.5KG+2X0.01G OV&ST.SA.H FR) ,BPZ - BANDED PACKS,ROYAL CANIN (ROYAL CANIN/FRANCE),ROYAL CANIN/FRANCE,Active
54617419,4627150233681,ROYAL CANIN (2XDOG PUP.XSM.S1.5KGD+PUP.SM.SA.H2X0.085KGDFR) ,BPZ - BANDED PACKS,ROYAL CANIN (ROYAL CANIN/FRANCE),ROYAL CANIN/FRANCE,Active
219550977,4630262804748,DELICARE+SENSICARE MAGIYA UTRA (SRG300ML+HAC80ML) ,BPZ - BANDED PACKS,UNABLE TO SEGMENT (ERA HPC DISTRIBUTION/SANKT-PETERBURG),ERA HPC DISTRIBUTION/SANKT-PETERBURG,Active
