product_id,code,description,category,brand,manufacturer,status
19651336,4607168441124,VITALAT MOZZRLL BOCCONCINI Y S CHE.P/SL P V 0.15KG ,CHK - CHEESE-BLOCK,VITALAT (MEGA-MASTER/PENZENSKAYA OBL.),MEGA-MASTER/PENZENSKAYA OBL.,Active
32188199,4612754442461,BARINOFF MANGO N PULP 25% 1L BO J ,JUI - JUICES,BARINOFF,MERKURIY PK/MTSENSK ORLOVSKAYA OBL.,Active
22426074,4810613000450,SLUTSKIY OBCHN-SKHR SOL A 0.5KG K ,SUG - SUGAR,SLUTSKIY (SLUTSKIY SAKHARORAFINADNIY KOMBINAT/BELARUS),SLUTSKIY SAKHARORAFINADNIY KOMBINAT/BELARUS,Active
18743853,4630009833987,TUESOK  PRALINE  ARAKHS 1KG  ,CHR - CHOCOLATE(BULK),TUESOK (AKKOND/CHEBOKSARY),AKKOND/CHEBOKSARY,Active
57240099,4640018992612,CALGON   G 0.65L BO ,LWS - LAUNDRY WATER SOFTENERS,CALGON (RECKITT),RECKITT,Active
21813338,4650054860066,MAKAROV(MAKAROV/MOSKVA) GORBSH R 0.23KG J ,CVR - CAVIAR/FISH EGGS(REFRIGERATED),MAKAROV (MAKAROV/MOSKVA),MAKAROV/MOSKVA,Active
42688125,4640005212075,DIVAGE 90X60X90 6102 BRN MSC  LNG&VLM    1PCS ,EMC - MASCARA MAKE-UP,DIVAGE (UNITED EUROPE GROUP),UNITED EUROPE GROUP,Active
19563310,4650057000568,BIOKRIM(PETROBIO) OSNOVNOE PITANIE N 0.25L BO ,SHM - SHAMPOO,BIOKRIM (PETROBIO/SPB),PETROBIO/SPB,Active
44366592,4607077864458,PURE NATURE(STANDART) MILD VD 0.5L ,VOD - VODKA,PURE NATURE (STANDART` LVZ/NIZHEGORODSK.OBL.),STANDART` LVZ/NIZHEGORODSK.OBL.,Active
58490587,4660059190112,ATON CAMMBRT Y W/WM CHE.BL. U WP 0.08KG +MYOD,CHK - CHEESE-BLOCK,ATON (ATON-MOLOCHNYE PRODUKTY/MOSKVA),ATON-MOLOCHNYE PRODUKTY/MOSKVA,Active
19973081,4650057301269,PRINTSESSA VKUSA  EXV   OLIVKA J 0.5L BO ,EDB - EDIBLE OILS,PRINTSESSA VKUSA,EKOLEND/VORONEZH,Active
55169854,4620006997072,TALKA LEDYANIKA BRUSNK&KLYKV VD 0.5L ,VOD - VODKA,TALKA (ROUST),ROUST,Active
19667980,4607117892137,ALYONKA(OB.KOND.) S MINDALYOM MINDL MCH TB 0.1KG E,CHO - CHOCOLATES,ALYONKA (OBYEDINYONNYE KONDITERY),OBYEDINYONNYE KONDITERY,Active
33788423,4610005171658,DYM DYMYCH  SVIN-ELITNY PTIT&SVIN KOLB BL S/K 0.25KG ,AER - MEAT PRODUCTS(RTE REFRIGERATED,DYM DYMYCH,RESURS GAP,Active
22245954,4620001311347,LAIMON FRESH LAYM&LIMN&MYAT JUI 0.5L BO P ,DRN - SOFT DRINKS,LAIMON (GREENME/SHVEYTSARIYA),GREENME/SHVEYTSARIYA,Active
26756631,4620749622101,I ZIMOY I LETOM KLUBNK 0.3KG S ,FTF - FRUITS(FROZEN),I ZIMOY I LETOM (MIR ZAMOROZKI/MOSKVA),MIR ZAMOROZKI/MOSKVA,Active
24244463,4623721055089,INKERMAN BRUT W BO J 0.75L R,SPW - SPARKLING WINE,INKERMAN (INKERMAN Z-D MAROCHNIKH VIN/SEVASTOPOL`),INKERMAN Z-D MAROCHNIKH VIN/SEVASTOPOL`,Active
24244463,4650134100303,INKERMAN BRUT W BO J 0.75L R,SPW - SPARKLING WINE,INKERMAN (INKERMAN Z-D MAROCHNIKH VIN/SEVASTOPOL`),INKERMAN Z-D MAROCHNIKH VIN/SEVASTOPOL`,Active
19565450,4650057000551,BIOKRIM(PETROBIO) PERKHOTI - NET N AHP 0.25L BO ,SHM - SHAMPOO,BIOKRIM (PETROBIO/SPB),PETROBIO/SPB,Active
57327197,4640018992278,VANISH PET CLEAN EXPERT OXI ACTION  L 0.75L Z ,CCL - CARPET CLEANERS,VANISH (RECKITT),RECKITT,Active
77556180,4631143286370,OLIMPIYSK.FERMA(PARTNER`)  YN MYUSL&CHERNSLV    2.5% 0.5KG R BO P  F ,KFR - LIQUID ACIDIC-MILK,OLIMPIYSKAYA FERMA (PARTNER`/KAMENSK-URAL`SKIY),PARTNER`/KAMENSK-URAL`SKIY,Active
49175040,4631140829624,BIZON(ADVERSUS) GOLD ENRG C T 0.5L T,ENG - ENERGY DRINK(RTD),BIZON (ADVERSUS/MOSKVA),ADVERSUS/MOSKVA,Active
19387702,4620011190116,VORONTSOVSKIE RZ-PS-MUK VETCHN&SYR SUKHARIK H S 0.04KG ,SNA - SNACKS,VORONTSOVSKIE (RUSKO/KOLOMNA),RUSKO/KOLOMNA,Active
19475070,4607161626863,DLYA VSEY SEMYI(DANONE)  YN ZEMLYAN    1.5% 0.45KG  TBK P  F ,KFR - LIQUID ACIDIC-MILK,DLYA VSEY SEMYI (DANONE),DANONE,Active
71376276,4660085515163,SNICKERS SUPER ARAKHS&KARML`&NUG MCH BR 0.08KG,CHO - CHOCOLATES,SNICKERS (MARS),MARS,Active
20224483,4607174578463,MOYA SEMYA(COCA COLA) FRUKTY&YAGDY N 40% 2L BRICK PACK A Y ,JUI - JUICES,MOYA SEMYA (COCA COLA),COCA COLA,Active
26712557,4680007214622,ORGANIC KITCHEN BANAN.BESPRED. S 0.1L J ,BCR - BODY CARE,ORGANIC KITCHEN (NATURA SIBERICA/MOSKVA),NATURA SIBERICA/MOSKVA,Active
24124732,4627095340147,DLYA TEBYA(DENIZ RICHARDS) GAUD&GOL&GRN-PR&S-TM-I-BAZ(MP) CHE.P/SL P V 0.155KG ,CHK - CHEESE-BLOCK,DLYA TEBYA (DENIZ RICHARDS/MOSKVA),DENIZ RICHARDS/MOSKVA,Active
19179135,4660010610017,MEVER S I 0.5L BO P US ,WTR - WATER,MEVER (MEVER ZBN/DAGESTAN),MEVER ZBN/DAGESTAN,Active
68966465,4620015858210,LISMA TRADITSIONNIY IND.   PK 25TB   0.04KG BL  ,TEA - TEA,LISMA (MAY-FOODS),MAY-FOODS,Active
34668641,4650065522342,AKBAR CLASSIC SERIES    PK 100TB   0.2KG BL  ,TEA - TEA,AKBAR (AKBAR BROTH.LTD/SHRI LANKA),AKBAR BROTH.LTD/SHRI LANKA,Active
39840918,4640001731372,VIOLA(VELKOM) SLIVCHNY A K 0.13KG ,CHP - CHEESE-PROCESSED,VIOLA (VELKOM MK/MOSK.OBL.),VELKOM MK/MOSK.OBL.,Active
39840918,4640001732195,VIOLA(VELKOM) SLIVCHNY A K 0.13KG ,CHP - CHEESE-PROCESSED,VIOLA (VELKOM MK/MOSK.OBL.),VELKOM MK/MOSK.OBL.,Active
